P,Q,secure
35,70,1
35,75,1
35,80,1
35,85,1
35,90,1
35,95,1
35,100,1
40,5,1
40,15,1
40,25,1
40,35,1
40,45,1
40,55,1
40,65,1
40,75,1
40,85,1
40,95,1
45,5,1
45,10,1
45,15,1
45,20,1
45,25,1
45,30,1
45,35,1
45,40,1
45,50,1
45,55,1
45,60,1
45,65,1
45,70,1
45,75,1
45,80,1
45,85,1
45,90,1
45,95,1
45,100,1
50,5,1
50,15,1
50,25,1
50,35,1
50,45,1
50,55,1
50,65,1
50,75,1
50,85,1
50,95,1
55,5,0
55,10,0
55,15,0
55,20,0
55,25,1
55,30,1
55,35,1
55,40,1
55,45,1
55,50,1
55,55,1
55,60,1
55,65,1
55,70,1
55,75,1
55,80,1
55,85,1
55,90,1
55,95,1
55,100,1
60,5,0
60,15,0
60,25,0
60,35,0
60,45,0
60,55,1
60,65,1
60,75,1
60,85,1
60,95,1
65,5,0
65,10,0
65,15,0
65,20,0
65,25,0
65,30,0
65,35,0
65,40,0
65,45,0
65,50,0
65,55,0
65,60,0
65,70,0
65,75,1
65,80,1
65,85,1
65,90,1
65,95,1
65,100,1
70,5,0
70,15,0
70,25,0
70,35,0
70,45,0
70,55,0
70,65,0
70,75,0
70,85,0
70,95,0
75,5,0
75,10,0
75,15,0
75,20,0
75,25,0
75,30,0
75,35,0
75,40,0
75,45,0
75,50,0
75,55,0
75,60,0
75,65,0
75,70,0
75,80,0
75,85,0
75,90,0
75,95,0
75,100,0
80,5,0
80,15,0
80,25,0
80,35,0
80,45,0
80,55,0
80,65,0
80,75,0
80,85,0
80,95,0
85,5,1
85,10,0
85,15,0
85,20,0
85,25,0
85,30,0
85,35,0
85,40,0
85,45,0
85,50,0
85,55,0
85,60,0
85,65,0
85,70,0
85,75,0
85,80,0
85,90,0
85,95,0
85,100,0
90,5,1
90,15,1
90,25,0
90,35,0
90,45,0
90,55,0
90,65,0
90,75,0
90,85,0
90,95,0
95,5,1
95,10,1
95,15,1
95,20,1
95,25,1
95,30,1
95,35,1
95,40,0
95,45,0
95,50,0
95,55,0
95,60,0
95,65,0
95,70,0
95,75,0
95,80,0
95,85,0
95,90,0
95,100,0
100,5,1
100,15,1
100,25,1
100,35,1
100,45,1
100,55,1
100,65,0
100,75,0
100,85,0
100,95,0
2,2,1
2,4,1
2,6,1
2,8,1
2,10,1
2,12,1
2,14,1
2,16,1
2,18,1
2,20,1
2,22,1
2,24,1
2,26,1
2,28,1
2,30,1
2,32,1
2,34,1
2,36,1
2,38,1
2,40,1
2,42,1
2,44,1
2,46,1
2,48,1
2,50,1
4,2,1
4,4,1
4,6,1
4,8,1
4,10,1
4,12,1
4,14,1
4,16,1
4,18,1
4,20,1
4,22,1
4,24,1
4,26,1
4,28,1
4,30,1
4,32,1
4,34,1
4,36,1
4,38,1
4,40,1
4,42,1
4,44,1
4,46,1
4,48,1
4,50,1
6,2,1
6,4,1
6,6,1
6,8,1
6,10,1
6,12,1
6,14,1
6,16,1
6,18,1
6,20,1
6,22,1
6,24,1
6,26,1
6,28,1
6,30,1
6,32,1
6,34,1
6,36,1
6,38,1
6,40,1
6,42,1
6,44,1
6,46,1
6,48,1
6,50,1
8,2,1
8,4,1
8,6,1
8,8,1
8,10,1
8,12,1
8,14,1
8,16,1
8,18,1
8,20,1
8,22,1
8,24,1
8,26,1
8,28,1
8,30,1
8,32,1
8,34,1
8,36,1
8,38,1
8,40,1
8,42,1
8,44,1
8,46,1
8,48,1
8,50,1
10,2,1
10,4,1
10,6,1
10,8,1
10,12,1
10,14,1
10,16,1
10,18,1
10,22,1
10,24,1
10,26,1
10,28,1
10,32,1
10,34,1
10,36,1
10,38,1
10,42,1
10,44,1
10,46,1
10,48,1
12,2,1
12,4,1
12,6,1
12,8,1
12,10,1
12,12,1
12,14,1
12,16,1
12,18,1
12,20,1
12,22,1
12,24,1
12,26,1
12,28,1
12,30,1
12,32,1
12,34,1
12,36,1
12,38,1
12,40,1
12,42,1
12,44,1
12,46,1
12,48,1
12,50,1
14,2,1
14,4,1
14,6,1
14,8,1
14,10,1
14,12,1
14,14,1
14,16,1
14,18,1
14,20,1
14,22,1
14,24,1
14,26,1
14,28,1
14,30,1
14,32,1
14,34,1
14,36,1
14,38,1
14,40,1
14,42,1
14,44,1
14,46,1
14,48,1
14,50,1
16,2,1
16,4,1
2,14,1
2,28,1
4,14,1
4,28,1
6,14,1
6,28,1
8,14,1
8,28,1
10,14,1
10,28,1
12,14,1
12,28,1
14,2,1
14,4,1
14,6,1
14,8,1
14,10,1
14,12,1
14,14,1
14,16,1
14,18,1
14,20,1
14,22,1
14,24,1
14,26,1
14,28,1
14,30,1
14,32,1
14,34,1
14,36,1
14,38,1
14,40,1
14,42,1
14,44,1
14,46,1
14,48,1
14,50,1
16,6,1
16,8,1
16,10,1
16,12,1
16,14,1
16,16,1
16,18,1
16,20,1
16,22,1
16,24,1
16,26,1
16,28,1
16,30,1
16,32,1
16,34,1
16,36,1
16,38,1
16,40,1
16,42,1
16,44,1
16,46,1
16,48,1
16,50,1
18,2,1
18,4,1
18,6,1
18,8,1
18,10,1
18,12,1
18,14,1
18,16,1
18,18,1
18,20,1
18,22,1
18,24,1
18,26,1
18,28,1
18,30,1
18,32,1
18,34,1
18,36,1
18,38,1
18,40,1
18,42,1
18,44,1
18,46,1
18,48,1
18,50,1
20,2,1
20,4,1
20,6,1
20,8,1
20,12,1
20,14,1
20,16,1
20,18,1
20,22,1
20,24,1
20,26,1
20,28,1
20,32,1
20,34,1
20,36,1
20,38,1
20,42,1
20,44,1
20,46,1
20,48,1
22,2,1
22,4,1
22,6,1
22,8,1
22,10,1
22,12,1
22,14,1
22,16,1
22,18,1
22,20,1
22,22,1
22,24,1
22,26,1
22,28,1
22,30,1
22,32,1
22,34,1
22,36,1
22,38,1
22,40,1
22,42,1
22,44,1
22,46,1
22,48,1
22,50,1
24,2,1
24,4,1
24,6,1
24,8,1
24,10,1
24,12,1
24,14,1
24,16,1
24,18,1
24,20,1
24,22,1
24,24,1
24,26,1
24,28,1
24,30,1
24,32,1
24,34,1
24,36,1
24,38,1
24,40,1
24,42,1
24,44,1
24,46,1
24,48,1
24,50,1
26,2,1
26,4,1
26,6,1
26,8,1
26,10,1
26,12,1
26,14,1
26,16,1
26,18,1
26,20,1
26,22,1
26,24,1
26,26,1
26,28,1
26,30,1
26,32,1
26,34,1
26,36,1
26,38,1
26,40,1
26,42,1
26,44,1
26,46,1
26,48,1
26,50,1
28,2,1
28,4,1
28,6,1
28,8,1
28,10,1
28,12,1
28,14,1
28,16,1
28,18,1
28,20,1
28,22,1
28,24,1
28,26,1
28,28,1
28,30,1
28,32,1
28,34,1
28,36,1
28,38,1
28,40,1
28,42,1
28,44,1
28,46,1
28,48,1
28,50,1
30,2,1
30,4,1
30,6,1
30,8,1
30,12,1
30,14,1
30,16,1
30,18,1
30,22,1
30,24,1
30,26,1
30,28,1
30,32,1
30,34,1
30,36,1
30,38,1
30,42,1
30,44,1
30,46,1
30,48,1
32,2,1
32,4,1
32,6,1
32,8,1
32,10,1
32,12,1
32,14,1
32,16,1
32,18,1
32,20,1
32,22,1
32,24,1
32,26,1
32,28,1
32,30,1
32,32,1
32,34,1
32,36,1
32,38,1
32,40,1
32,42,1
32,44,1
32,46,1
32,48,1
32,50,1
34,2,1
34,4,1
34,6,1
34,8,1
34,10,1
34,12,1
34,14,1
34,16,1
34,18,1
34,20,1
34,22,1
34,24,1
34,26,1
34,28,1
34,30,1
34,32,1
34,34,1
34,36,1
34,38,1
34,40,1
34,42,1
34,44,1
34,46,1
34,48,1
34,50,1
36,2,1
36,4,1
36,6,1
36,8,1
36,10,1
36,12,1
36,14,1
36,16,1
36,18,1
36,20,1
36,22,1
36,24,1
36,26,1
36,28,1
36,30,1
36,32,1
36,34,1
36,36,1
36,38,1
36,40,1
36,42,1
36,44,1
36,46,1
36,48,1
36,50,1
38,2,1
38,4,1
38,6,1
38,8,1
38,10,1
38,12,1
38,14,1
38,16,1
38,18,1
38,20,1
38,22,1
38,24,1
38,26,1
38,28,1
38,30,1
38,32,1
38,34,1
38,36,1
38,38,1
38,40,1
38,42,1
38,44,1
38,46,1
38,48,1
38,50,1
40,2,1
40,4,1
40,6,1
40,8,1
40,12,1
40,14,1
40,16,1
40,18,1
40,22,1
40,24,1
40,26,1
40,28,1
40,32,1
40,34,1
40,36,1
40,38,1
40,42,1
40,44,1
40,46,1
40,48,1
42,2,1
42,4,1
42,6,1
42,8,1
42,10,1
42,12,1
42,14,1
42,16,1
42,18,1
42,20,1
42,22,1
42,24,1
42,26,1
42,28,1
42,30,1
42,32,1
42,34,1
42,36,1
42,38,1
42,40,1
42,42,1
42,44,1
42,46,1
42,48,1
42,50,1
44,2,1
44,4,1
44,6,1
44,8,1
44,10,1
44,12,1
44,14,1
44,16,1
44,18,1
44,20,1
44,22,1
44,24,1
44,26,1
44,28,1
44,30,1
44,32,1
44,34,1
44,36,1
44,38,1
44,40,1
44,42,1
44,44,1
44,46,1
44,48,1
44,50,1
46,2,1
46,4,1
46,6,1
46,8,1
46,10,1
46,12,1
46,14,1
46,16,1
46,18,1
46,20,1
46,22,1
46,24,1
46,26,1
46,28,1
46,30,1
46,32,1
46,34,1
46,36,1
46,38,1
46,40,1
46,42,1
46,44,1
46,46,1
46,48,1
46,50,1
48,2,1
48,4,1
48,6,1
48,8,1
48,10,1
48,12,1
48,14,1
48,16,1
48,18,1
48,20,1
48,22,1
48,24,1
48,26,1
48,28,1
48,30,1
48,32,1
48,34,1
48,36,1
48,38,1
48,40,1
48,42,1
48,44,1
48,46,1
48,48,1
48,50,1
50,2,1
50,4,1
50,6,1
50,8,1
50,12,1
50,14,1
50,16,1
50,18,1
50,22,1
50,24,1
50,26,1
50,28,1
50,32,1
50,34,1
50,36,1
50,38,1
50,42,1
50,44,1
50,46,1
50,48,1
50,52,1
50,54,1
50,56,1
50,58,1
50,62,1
50,64,1
50,66,1
50,68,1
50,72,1
50,74,1
50,76,1
50,78,1
50,82,1
50,84,1
50,86,1
50,88,1
50,92,1
50,94,1
50,96,1
50,98,1
52,50,1
52,52,1
52,54,1
52,56,1
52,58,1
52,60,1
52,62,1
52,64,1
52,66,1
52,68,1
52,70,1
52,72,1
52,74,1
52,76,1
52,78,1
52,80,1
52,82,1
52,84,1
52,86,1
52,88,1
52,90,1
52,92,1
52,94,1
52,96,1
52,98,1
52,100,1
54,50,1
54,52,1
54,54,1
54,56,1
54,58,1
54,60,1
54,62,1
54,64,1
54,66,1
54,68,1
54,70,1
54,72,1
54,74,1
54,76,1
54,78,1
54,80,1
54,82,1
54,84,1
54,86,1
54,88,1
54,90,1
54,92,1
54,94,1
54,96,1
54,98,1
54,100,1
56,50,1
56,52,1
56,54,1
56,56,1
56,58,1
56,60,1
56,62,1
56,64,1
56,66,1
56,68,1
56,70,1
56,72,1
56,74,1
56,76,1
56,78,1
56,80,1
56,82,1
56,84,1
56,86,1
56,88,1
56,90,1
56,92,1
56,94,1
56,96,1
56,98,1
56,100,1
58,50,1
58,52,1
58,54,1
58,56,1
58,58,1
58,60,1
58,62,1
58,64,1
58,66,1
58,68,1
58,70,1
58,72,1
58,74,1
58,76,1
58,78,1
58,80,1
58,82,1
58,84,1
58,86,1
58,88,1
58,90,1
58,92,1
58,94,1
58,96,1
58,98,1
58,100,1
60,52,1
60,54,1
60,56,1
60,58,1
60,62,1
60,64,1
60,66,1
60,68,1
60,72,1
60,74,1
60,76,1
60,78,1
60,82,1
60,84,1
60,86,1
60,88,1
60,92,1
60,94,1
60,96,1
60,98,1
62,50,0
62,52,0
62,54,0
62,56,0
62,58,0
62,60,1
62,62,1
62,64,1
62,66,1
62,68,1
62,70,1
62,72,1
62,74,1
62,76,1
62,78,1
62,80,1
62,82,1
62,84,1
62,86,1
62,88,1
62,90,1
62,92,1
62,94,1
62,96,1
62,98,1
62,100,1
64,50,0
64,52,0
64,54,0
64,56,0
64,58,0
64,60,0
64,62,0
64,64,0
64,66,0
64,68,0
64,70,1
64,72,1
64,74,1
64,76,1
64,78,1
64,80,1
64,82,1
64,84,1
64,86,1
64,88,1
64,90,1
64,92,1
64,94,1
64,96,1
64,98,1
64,100,1
66,50,0
66,52,0
66,54,0
66,56,0
66,58,0
66,60,0
66,62,0
66,64,0
66,66,0
66,68,0
66,70,0
66,72,0
66,74,0
50,56,1
50,58,1
52,56,1
52,58,1
54,56,1
54,58,1
56,50,1
56,52,1
56,54,1
56,56,1
56,58,1
56,60,1
56,62,1
56,64,1
56,66,1
56,68,1
56,70,1
56,72,1
56,74,1
56,76,1
56,78,1
56,80,1
56,82,1
56,84,1
56,86,1
56,88,1
56,90,1
56,92,1
56,94,1
56,96,1
56,98,1
56,100,1
58,50,1
58,52,1
58,54,1
58,56,1
58,58,1
58,60,1
58,62,1
58,64,1
58,66,1
58,68,1
58,70,1
58,72,1
58,74,1
58,76,1
58,78,1
58,80,1
58,82,1
58,84,1
58,86,1
58,88,1
58,90,1
58,92,1
58,94,1
58,96,1
58,98,1
58,100,1
60,56,1
60,58,1
62,56,0
62,58,0
64,56,0
64,58,0
66,56,0
66,58,0
66,76,0
66,78,0
66,80,1
66,82,1
66,84,1
66,86,1
66,88,1
66,90,1
66,92,1
66,94,1
66,96,1
66,98,1
66,100,1
68,50,0
68,52,0
68,54,0
68,56,0
68,58,0
68,60,0
68,62,0
68,64,0
68,66,0
68,68,0
68,70,0
68,72,0
68,74,0
68,76,0
68,78,0
68,80,0
68,82,0
68,84,0
68,86,0
68,88,0
68,90,1
68,92,1
68,94,1
68,96,1
68,98,1
68,100,1
70,52,0
70,54,0
70,56,0
70,58,0
70,62,0
70,64,0
70,66,0
70,68,0
70,72,0
70,74,0
70,76,0
70,78,0
70,82,0
70,84,0
70,86,0
70,88,0
70,92,0
70,94,0
70,96,0
70,98,0
72,50,0
72,52,0
72,54,0
72,56,0
72,58,0
72,60,0
72,62,0
72,64,0
72,66,0
72,68,0
72,70,0
72,72,0
72,74,0
72,76,0
72,78,0
72,80,0
72,82,0
72,84,0
72,86,0
72,88,0
72,90,0
72,92,0
72,94,0
72,96,0
72,98,0
72,100,0
74,50,0
74,52,0
74,54,0
74,56,0
74,58,0
74,60,0
74,62,0
74,64,0
74,66,0
74,68,0
74,70,0
74,72,0
74,74,0
74,76,0
74,78,0
74,80,0
74,82,0
74,84,0
74,86,0
74,88,0
74,90,0
74,92,0
74,94,0
74,96,0
74,98,0
74,100,0
76,50,0
76,52,0
76,54,0
76,56,0
76,58,0
76,60,0
76,62,0
76,64,0
76,66,0
76,68,0
76,70,0
76,72,0
76,74,0
76,76,0
76,78,0
76,80,0
76,82,0
76,84,0
76,86,0
76,88,0
76,90,0
76,92,0
76,94,0
76,96,0
76,98,0
76,100,0
78,50,0
78,52,0
78,54,0
78,56,0
78,58,0
78,60,0
78,62,0
78,64,0
78,66,0
78,68,0
78,70,0
78,72,0
78,74,0
78,76,0
78,78,0
78,80,0
78,82,0
78,84,0
78,86,0
78,88,0
78,90,0
78,92,0
78,94,0
78,96,0
78,98,0
78,100,0
80,52,0
80,54,0
80,56,0
80,58,0
80,62,0
80,64,0
80,66,0
80,68,0
80,72,0
80,74,0
80,76,0
80,78,0
80,82,0
80,84,0
80,86,0
80,88,0
80,92,0
80,94,0
80,96,0
80,98,0
82,50,0
82,52,0
82,54,0
82,56,0
82,58,0
82,60,0
82,62,0
82,64,0
82,66,0
82,68,0
82,70,0
82,72,0
82,74,0
82,76,0
82,78,0
82,80,0
82,82,0
82,84,0
82,86,0
82,88,0
82,90,0
82,92,0
82,94,0
82,96,0
82,98,0
82,100,0
84,50,0
84,52,0
84,54,0
84,56,0
84,58,0
84,60,0
84,62,0
84,64,0
84,66,0
84,68,0
84,70,0
84,72,0
84,74,0
84,76,0
84,78,0
84,80,0
84,82,0
84,84,0
84,86,0
84,88,0
84,90,0
84,92,0
84,94,0
84,96,0
84,98,0
84,100,0
86,50,0
86,52,0
86,54,0
86,56,0
86,58,0
86,60,0
86,62,0
86,64,0
86,66,0
86,68,0
86,70,0
86,72,0
86,74,0
86,76,0
86,78,0
86,80,0
86,82,0
86,84,0
86,86,0
86,88,0
86,90,0
86,92,0
86,94,0
86,96,0
86,98,0
86,100,0
88,50,0
88,52,0
88,54,0
88,56,0
88,58,0
88,60,0
88,62,0
88,64,0
88,66,0
88,68,0
88,70,0
88,72,0
88,74,0
88,76,0
88,78,0
88,80,0
88,82,0
88,84,0
88,86,0
88,88,0
88,90,0
88,92,0
88,94,0
88,96,0
88,98,0
88,100,0
90,52,0
90,54,0
90,56,0
90,58,0
90,62,0
90,64,0
90,66,0
90,68,0
90,72,0
90,74,0
90,76,0
90,78,0
90,82,0
90,84,0
90,86,0
90,88,0
90,92,0
90,94,0
90,96,0
90,98,0
92,50,0
92,52,0
92,54,0
92,56,0
92,58,0
92,60,0
92,62,0
92,64,0
92,66,0
92,68,0
92,70,0
92,72,0
92,74,0
92,76,0
92,78,0
92,80,0
92,82,0
92,84,0
92,86,0
92,88,0
92,90,0
92,92,0
92,94,0
92,96,0
92,98,0
92,100,0
94,50,0
94,52,0
94,54,0
94,56,0
94,58,0
94,60,0
94,62,0
94,64,0
94,66,0
94,68,0
94,70,0
94,72,0
94,74,0
94,76,0
94,78,0
94,80,0
94,82,0
94,84,0
94,86,0
94,88,0
94,90,0
94,92,0
94,94,0
94,96,0
94,98,0
94,100,0
96,50,0
96,52,0
96,54,0
96,56,0
96,58,0
96,60,0
96,62,0
96,64,0
96,66,0
96,68,0
96,70,0
96,72,0
96,74,0
96,76,0
96,78,0
96,80,0
96,82,0
96,84,0
96,86,0
96,88,0
96,90,0
96,92,0
96,94,0
96,96,0
96,98,0
96,100,0
98,50,0
98,52,0
98,54,0
98,56,0
98,58,0
98,60,0
98,62,0
98,64,0
98,66,0
98,68,0
98,70,0
98,72,0
98,74,0
98,76,0
98,78,0
98,80,0
98,82,0
98,84,0
98,86,0
98,88,0
98,90,0
98,92,0
98,94,0
98,96,0
98,98,0
98,100,0
100,52,1
100,54,1
100,56,1
100,58,0
100,62,0
100,64,0
100,66,0
100,68,0
100,72,0
100,74,0
100,76,0
100,78,0
100,82,0
100,84,0
100,86,0
100,88,0
100,92,0
100,94,0
100,96,0
100,98,0
2,52,1
2,54,1
2,56,1
2,58,1
2,60,1
2,62,1
2,64,1
2,66,1
2,68,1
2,70,1
2,72,1
2,74,1
2,76,1
2,78,1
2,80,1
2,82,1
2,84,1
2,86,1
2,88,1
2,90,1
2,92,1
2,94,1
2,96,1
2,98,1
2,100,1
4,52,1
4,54,1
4,56,1
4,58,1
4,60,1
4,62,1
4,64,1
4,66,1
4,68,1
4,70,1
4,72,1
4,74,1
4,76,1
4,78,1
4,80,1
4,82,1
4,84,1
4,86,1
4,88,1
4,90,1
4,92,1
4,94,1
4,96,1
4,98,1
4,100,1
6,52,1
6,54,1
6,56,1
6,58,1
6,60,1
6,62,1
6,64,1
6,66,1
6,68,1
6,70,1
6,72,1
6,74,1
6,76,1
6,78,1
6,80,1
6,82,1
6,84,1
6,86,1
6,88,1
6,90,1
6,92,1
6,94,1
6,96,1
6,98,1
6,100,1
8,52,1
8,54,1
8,56,1
8,58,1
8,60,1
8,62,1
8,64,1
8,66,1
8,68,1
8,70,1
8,72,1
8,74,1
8,76,1
8,78,1
8,80,1
8,82,1
8,84,1
8,86,1
8,88,1
8,90,1
8,92,1
8,94,1
8,96,1
8,98,1
8,100,1
10,52,1
10,54,1
10,56,1
10,58,1
10,62,1
10,64,1
10,66,1
10,68,1
10,72,1
10,74,1
10,76,1
10,78,1
10,82,1
10,84,1
10,86,1
10,88,1
10,92,1
10,94,1
10,96,1
10,98,1
12,52,1
12,54,1
12,56,1
12,58,1
12,60,1
12,62,1
12,64,1
12,66,1
12,68,1
12,70,1
12,72,1
12,74,1
12,76,1
12,78,1
12,80,1
12,82,1
12,84,1
12,86,1
12,88,1
12,90,1
12,92,1
12,94,1
12,96,1
12,98,1
12,100,1
14,50,1
14,52,1
14,54,1
14,56,1
14,58,1
14,60,1
14,62,1
14,64,1
14,66,1
14,68,1
14,70,1
14,72,1
14,74,1
14,76,1
14,78,1
14,80,1
14,82,1
14,84,1
14,86,1
14,88,1
14,90,1
14,92,1
14,94,1
14,96,1
14,98,1
14,100,1
16,52,1
16,54,1
16,56,1
16,58,1
16,60,1
16,62,1
16,64,1
16,66,1
16,68,1
16,70,1
16,72,1
16,74,1
16,76,1
16,78,1
16,80,1
16,82,1
16,84,1
16,86,1
16,88,1
16,90,1
16,92,1
16,94,1
16,96,1
16,98,1
16,100,1
18,52,1
18,54,1
18,56,1
18,58,1
18,60,1
18,62,1
18,64,1
18,66,1
18,68,1
18,70,1
18,72,1
18,74,1
18,76,1
18,78,1
18,80,1
18,82,1
18,84,1
18,86,1
18,88,1
18,90,1
18,92,1
18,94,1
18,96,1
18,98,1
18,100,1
20,52,1
20,54,1
20,56,1
20,58,1
20,62,1
20,64,1
20,66,1
20,68,1
20,72,1
20,74,1
20,76,1
20,78,1
20,82,1
20,84,1
20,86,1
20,88,1
20,92,1
20,94,1
20,96,1
20,98,1
22,52,1
22,54,1
22,56,1
22,58,1
22,60,1
22,62,1
22,64,1
22,66,1
22,68,1
22,70,1
22,72,1
22,74,1
22,76,1
22,78,1
22,80,1
22,82,1
22,84,1
22,86,1
22,88,1
22,90,1
22,92,1
22,94,1
22,96,1
22,98,1
22,100,1
24,52,1
24,54,1
24,56,1
24,58,1
24,60,1
24,62,1
24,64,1
24,66,1
24,68,1
24,70,1
24,72,1
24,74,1
24,76,1
24,78,1
24,80,1
24,82,1
24,84,1
24,86,1
24,88,1
24,90,1
24,92,1
24,94,1
24,96,1
24,98,1
24,100,1
26,52,1
26,54,1
26,56,1
26,58,1
26,60,1
26,62,1
26,64,1
26,66,1
26,68,1
26,70,1
26,72,1
26,74,1
26,76,1
26,78,1
26,80,1
26,82,1
26,84,1
26,86,1
26,88,1
26,90,1
26,92,1
26,94,1
26,96,1
26,98,1
26,100,1
28,50,1
28,52,1
28,54,1
28,56,1
28,58,1
28,60,1
28,62,1
28,64,1
28,66,1
28,68,1
28,70,1
28,72,1
28,74,1
28,76,1
28,78,1
28,80,1
28,82,1
28,84,1
28,86,1
28,88,1
28,90,1
28,92,1
28,94,1
28,96,1
28,98,1
28,100,1
30,52,1
30,54,1
30,56,1
30,58,1
30,62,1
30,64,1
30,66,1
30,68,1
30,72,1
30,74,1
30,76,1
30,78,1
30,82,1
30,84,1
30,86,1
30,88,1
30,92,1
30,94,1
30,96,1
30,98,1
32,52,1
32,54,1
32,56,1
32,58,1
32,60,1
32,62,1
32,64,1
32,66,1
32,68,1
32,70,1
32,72,1
32,74,1
32,76,1
32,78,1
32,80,1
32,82,1
2,56,1
2,58,1
4,56,1
4,58,1
6,56,1
6,58,1
8,56,1
8,58,1
10,56,1
10,58,1
12,56,1
12,58,1
14,50,1
14,52,1
14,54,1
14,56,1
14,58,1
14,60,1
14,62,1
14,64,1
14,66,1
14,68,1
14,70,1
14,72,1
14,74,1
14,76,1
14,78,1
14,80,1
14,82,1
14,84,1
14,86,1
14,88,1
14,90,1
14,92,1
14,94,1
14,96,1
14,98,1
14,100,1
16,56,1
16,58,1
18,56,1
18,58,1
20,56,1
20,58,1
22,56,1
22,58,1
24,56,1
24,58,1
26,56,1
26,58,1
28,50,1
28,52,1
28,54,1
28,56,1
28,58,1
28,60,1
28,62,1
28,64,1
28,66,1
28,68,1
28,70,1
28,72,1
28,74,1
28,76,1
28,78,1
28,80,1
28,82,1
28,84,1
28,86,1
28,88,1
28,90,1
28,92,1
28,94,1
28,96,1
28,98,1
28,100,1
30,56,1
30,58,1
32,56,1
32,58,1
32,84,1
32,86,1
32,88,1
32,90,1
32,92,1
32,94,1
32,96,1
32,98,1
32,100,1
34,52,1
34,54,1
34,56,1
34,58,1
34,60,1
34,62,1
34,64,1
34,66,1
34,68,1
34,70,1
34,72,1
34,74,1
34,76,1
34,78,1
34,80,1
34,82,1
34,84,1
34,86,1
34,88,1
34,90,1
34,92,1
34,94,1
34,96,1
34,98,1
34,100,1
36,52,1
36,54,1
36,56,1
36,58,1
36,60,1
36,62,1
36,64,1
36,66,1
36,68,1
36,70,1
36,72,1
36,74,1
36,76,1
36,78,1
36,80,1
36,82,1
36,84,1
36,86,1
36,88,1
36,90,1
36,92,1
36,94,1
36,96,1
36,98,1
36,100,1
38,52,1
38,54,1
38,56,1
38,58,1
38,60,1
38,62,1
38,64,1
38,66,1
38,68,1
38,70,1
38,72,1
38,74,1
38,76,1
38,78,1
38,80,1
38,82,1
38,84,1
38,86,1
38,88,1
38,90,1
38,92,1
38,94,1
38,96,1
38,98,1
38,100,1
40,52,1
40,54,1
40,56,1
40,58,1
40,62,1
40,64,1
40,66,1
40,68,1
40,72,1
40,74,1
40,76,1
40,78,1
40,82,1
40,84,1
40,86,1
40,88,1
40,92,1
40,94,1
40,96,1
40,98,1
42,52,1
42,54,1
42,56,1
42,58,1
42,60,1
42,62,1
42,64,1
42,66,1
42,68,1
42,70,1
42,72,1
42,74,1
42,76,1
42,78,1
42,80,1
42,82,1
42,84,1
42,86,1
42,88,1
42,90,1
42,92,1
42,94,1
42,96,1
42,98,1
